word,translation,word_example,trans_example
콘서트,concert,지난주에 좋아하는 가수의 콘서트에 갔어요.,I went to my favorite singer’s concert last week.
책읽기,reading,자기 전에 책읽기를 하는 습관이 있습니다.,I have a habit of reading before bed.
공부,study,효율적인 공부 방법을 찾는 것이 중요합니다.,It is important to find efficient study methods.
시험,exam,시험이 다가와서 긴장되고 있습니다.,The exam is approaching so I feel nervous.
성적,grade,열심히 노력한 덕분에 좋은 성적을 받았습니다.,I got good grades thanks to hard work.
수업,class,오늘 수업은 매우 유익하고 흥미로웠습니다.,Today’s class was very useful and interesting.
숙제,homework,숙제를 다 끝내고 나서야 마음이 편해졌어요.,I felt relieved only after finishing my homework.
질문하다,to ask a question,이해가 안 되는 부분을 질문했습니다.,I asked about the part I didn’t understand.
대답하다,to answer,선생님의 질문에 자신 있게 대답했습니다.,I answered the teacher’s question confidently.
설명하다,to explain,어려운 내용을 쉽게 설명해 주었습니다.,They explained difficult content simply.
외우다,to memorize,단어를 외우기 위해 반복해서 읽었습니다.,I read repeatedly to memorize words.
복습하다,to review,배운 내용을 잊지 않기 위해 복습했습니다.,I reviewed to not forget what I learned.
예습하다,to preview,수업 전에 예습을 하면 이해가 더 잘 됩니다.,Previewing before class helps understanding.
집중하다,to concentrate,조용한 환경에서 더 잘 집중할 수 있습니다.,I can concentrate better in a quiet environment.
노력하다,to try/put effort,목표를 이루기 위해 계속 노력하고 있습니다.,I keep trying to achieve my goals.
포기하다,to give up,어려워도 쉽게 포기하지 않으려고 합니다.,I try not to give up easily even if it’s hard.
성공하다,to succeed,결국 그는 자신의 목표를 이루고 성공했습니다.,He eventually achieved his goal and succeeded.
실패하다,to fail,실패를 통해 더 많은 것을 배우게 됩니다.,You learn more through failure.
도전하다,to challenge,새로운 일에 도전하는 것이 중요합니다.,It is important to challenge new things.
변하다,to change,시간이 지나면서 생각이 많이 변했습니다.,My thoughts changed a lot over time.
발전하다,to develop,꾸준히 노력하면 실력이 발전합니다.,If you try consistently your skills improve.
성장하다,to grow,다양한 경험을 통해 사람은 성장합니다.,People grow through various experiences.
여행하다,to travel,다음 달에는 친구들과 함께 해외로 여행할 계획입니다.,Next month I plan to travel abroad with friends.
구경하다,to sightsee,서울에 가서 다양한 명소를 구경했습니다.,I went to Seoul and saw various sightseeing spots.
사진찍다,to take pictures,여행 중에 풍경 사진을 많이 찍었어요.,I took many landscape photos during the trip.
길을 걷다,to walk along a road,도심을 길을 걸으며 구경했습니다.,I walked through the city and looked around.
쇼핑하다,to shop,백화점에서 선물을 사기 위해 쇼핑했습니다.,I went shopping at the department store to buy gifts.
음식 먹다,to eat food,현지 음식을 먹으면서 다양한 맛을 경험했습니다.,I experienced different flavors while eating local food.
공연 보다,to watch a performance,콘서트 공연을 보러 친구들과 갔습니다.,I went with friends to watch a concert performance.
휴식하다,to rest,긴 하루 후에는 잠시 휴식하는 것이 필요합니다.,After a long day it’s necessary to rest a bit.
놀다,to play/hang out,주말에는 친구들과 공원에서 놀았습니다.,I played in the park with friends on the weekend.
회의하다,to have a meeting,오전에는 중요한 회의를 했습니다.,We had an important meeting in the morning.
전화하다,to call,친구에게 확인할 것이 있어서 전화했습니다.,I called my friend to check something.
이메일 보내다,to send an email,업무 관련 내용을 이메일로 보냈습니다.,I sent work-related content via email.
편지 쓰다,to write a letter,오래간만에 가족에게 편지를 썼습니다.,I wrote a letter to my family after a long time.
배우다,to learn,새로운 언어를 배우는 것이 재미있습니다.,Learning a new language is fun.
가르치다,to teach,선생님께서 학생들에게 영어를 가르쳤습니다.,The teacher taught English to the students.
나가다,to exit,수업이 끝나고 도서관에서 나갔습니다.,I exited the library after class.
앉히다,to seat,손님을 안내하여 자리에 앉혔습니다.,I guided the guest and seated them.
깨다,to wake up,알람 소리에 일찍 깼습니다.,I woke up early because of the alarm.
입다,to wear,날씨가 추워서 두꺼운 옷을 입었습니다.,I wore thick clothes because it was cold.
벗다,to take off,집에 들어와서 신발을 벗었습니다.,I took off my shoes after entering the house.
신다,to put on shoes/socks,밖에 나가기 전에 신발을 신었습니다.,I put on shoes before going outside.
벗기다,to remove (clothes),아이의 옷을 벗겨서 목욕시켰습니다.,I removed the child’s clothes to give them a bath.
빌리다,to borrow,친구에게 책을 빌렸습니다.,I borrowed a book from a friend.
기억하다,to remember,중요한 약속은 꼭 기억해야 합니다.,You must remember important appointments.
잊다,to forget,바쁘다 보니 몇 가지를 잊었습니다.,I forgot a few things because I was busy.
만들다,to make,저녁으로 간단한 샌드위치를 만들었습니다.,I made a simple sandwich for dinner.
사용하다,to use,컴퓨터를 사용해서 보고서를 작성했습니다.,I used a computer to write a report.
배우,actor/actress,그 배우는 다양한 영화에서 활약하고 있습니다.,That actor performs in various movies.
감독,director,유명한 감독의 신작 영화를 기대하고 있습니다.,I am looking forward to the new movie by a famous director.
배경,background,사진의 배경이 아름다워서 인상적이었습니다.,The background in the photo was beautiful and impressive.
주인공,main character,이 영화의 주인공은 용감한 소년입니다.,The main character of this movie is a brave boy.
줄거리,plot,영화의 줄거리가 매우 흥미로웠습니다.,The plot of the movie was very interesting.
장면,scene,가장 감동적인 장면은 결말 부분이었습니다.,The most touching scene was the ending part.
음향,sound,영화의 음향 효과가 실제처럼 느껴졌습니다.,The movie’s sound effects felt realistic.
화면,screen,큰 화면으로 영화를 보니 몰입감이 높았습니다.,Watching the movie on a big screen was immersive.
표현,expression,그 배우의 표정 표현이 뛰어났습니다.,The actor’s facial expressions were excellent.
연기,acting,연기력이 좋아서 감정이 잘 전달되었습니다.,The acting was good so the emotions were well conveyed.
연주하다,to perform (music),그는 콘서트에서 피아노를 연주했습니다.,He performed piano at the concert.
작곡하다,to compose,작곡가는 새로운 곡을 만들고 있습니다.,The composer is creating a new song.
공연하다,to perform,밴드는 공연을 통해 많은 팬들을 만났습니다.,The band met many fans through the performance.
연습하다,to practice,음악회를 위해 매일 연습했습니다.,They practiced every day for the concert.
관람하다,to watch/observe,박물관에서 작품을 관람했습니다.,I watched the works at the museum.
전시하다,to exhibit,미술관에서 현대 미술 작품을 전시하고 있습니다.,The museum is exhibiting contemporary art pieces.
그리다,to draw,학생들은 자유롭게 그림을 그렸습니다.,The students drew pictures freely.
색깔,color,그림에 다양한 색깔을 사용했습니다.,They used various colors in the painting.
모양,shape,케이크를 예쁜 모양으로 만들었습니다.,I made the cake in a pretty shape.
재료,material,요리에 필요한 재료를 모두 준비했습니다.,I prepared all the ingredients needed for the dish.
맛있다,delicious,이 식당의 음식은 정말 맛있습니다.,The food at this restaurant is really delicious.
매콤하다,spicy,떡볶이는 조금 매콤해서 먹기 좋습니다.,"Tteokbokki is slightly spicy, which makes it good to eat."
달콤하다,sweet,케이크가 달콤해서 아이들이 좋아했습니다.,The cake was sweet so the kids liked it.
시다,sour,레몬은 너무 시어서 조금만 넣었습니다.,"The lemon was too sour, so I added only a little."
차갑다,cold,여름에는 차가운 음료가 인기입니다.,Cold drinks are popular in summer.
뜨겁다,hot,커피가 너무 뜨거워서 잠시 식혔습니다.,"The coffee was too hot, so I let it cool for a while."
목마르다,thirsty,운동 후에 목이 많이 마릅니다.,I’m very thirsty after exercising.
즐겁다,fun,친구들과 함께 있으면 언제나 즐겁습니다.,It’s always fun to be with friends.
심심하다,bored,날씨가 나빠서 집에서 심심했습니다.,It was boring at home because the weather was bad.
자랑하다,to boast,그는 자신의 성과를 친구들에게 자랑했습니다.,He boasted about his achievements to his friends.
도와주다,to help,친구가 어려움을 겪을 때 도와주었습니다.,I helped my friend when they were having trouble.
사과하다,to apologize,늦어서 친구에게 사과했습니다.,I apologized to my friend for being late.
감사하다,to thank,선생님께 도움을 받아 감사했습니다.,I thanked the teacher for the help.
축하하다,to congratulate,친구의 결혼을 축하했습니다.,I congratulated my friend on their wedding.
기대하다,to look forward,새로운 영화 개봉을 기대하고 있습니다.,I’m looking forward to the release of the new movie.
바라다,to hope,모든 일이 잘 되기를 바랍니다.,I hope everything goes well.
믿다,to believe,친구의 말을 믿고 따랐습니다.,I trusted and followed my friend’s words.
끝내다,to finish,오늘까지 숙제를 모두 끝냈습니다.,I finished all my homework by today.
계속하다,to continue,목표를 이루기 위해 계속 노력하고 있습니다.,I continue working hard to achieve my goal.
멈추다,to stop,비가 와서 산책을 잠시 멈췄습니다.,I stopped the walk because it started raining.
바꾸다,to change,마음이 바뀌어서 계획을 바꿨습니다.,"My mind changed, so I changed the plan."
고치다,to fix,문제가 생겨서 바로 고쳤습니다.,I fixed the problem immediately when it occurred.
찾아보다,to look for,도서관에서 필요한 책을 찾아봤습니다.,I looked for the book I needed in the library.
준비하다,to prepare,시험을 위해 열심히 준비했습니다.,I prepared diligently for the exam.
연결하다,to connect,컴퓨터를 인터넷에 연결했습니다.,I connected the computer to the internet.
설치하다,to install,새 프로그램을 컴퓨터에 설치했습니다.,I installed the new program on the computer.
삭제하다,to delete,필요 없는 파일을 삭제했습니다.,I deleted unnecessary files.
저장하다,to save,작업한 내용을 저장하는 것을 잊지 마세요.,Don’t forget to save the work you did.
복사하다,to copy,중요한 문서를 복사해 두었습니다.,I made a copy of the important document.
붙이다,to paste,문서를 새 파일에 붙였습니다.,I pasted the document into a new file.
보내다,to send,친구에게 이메일을 보냈습니다.,I sent an email to my friend.
연락하다,to contact,고객과 전화로 연락했습니다.,I contacted the client by phone.
확인하다,to check,일정을 다시 확인했습니다.,I checked the schedule again.
약속하다,to promise,친구와 내일 만나기로 약속했습니다.,I promised to meet my friend tomorrow.
지키다,to keep (promise),약속을 지키려고 노력했습니다.,I tried to keep my promise.
도착하다,to arrive,기차가 제 시간에 도착했습니다.,The train arrived on time.
출발하다,to depart,비행기가 아침 9시에 출발했습니다.,The plane departed at 9 a.m.
돌아오다,to return,여행 후 집으로 돌아왔습니다.,I returned home after the trip.
태어나다,to be born,저는 1995년에 태어났습니다.,I was born in 1995.
살리다,to save,산불 속에서 동물을 살렸습니다.,I saved an animal from the forest fire.
죽이다,to kill,사람이 다치지 않도록 위험한 동물을 죽였습니다.,I killed the dangerous animal to prevent people from being hurt.
이사하다,to move,새 집으로 이사했습니다.,I moved to a new house.
방문하다,to visit,친구 집을 방문했습니다.,I visited a friend’s house.
돌보다,to take care of,아픈 동생을 돌봤습니다.,I took care of my sick younger sibling.
묻다,to ask,궁금한 것이 있어서 질문했습니다.,I asked because I was curious.
이해하다,to understand,천천히 설명을 들어서 이해했습니다.,I understood after listening slowly.
결정하다,to decide,새 계획을 실행하기로 결정했습니다.,I decided to execute a new plan.
선택하다,to choose,좋은 옵션 중 하나를 선택했습니다.,I chose one of the good options.
시도하다,to try,새로운 방법을 시도했습니다.,I tried a new method.
약,medicine,감기에 걸려서 약을 먹었습니다.,I took medicine because I caught a cold.
간호사,nurse,간호사가 친절하게 도움을 주었습니다.,The nurse kindly helped me.
치과,dentist,치아가 아파서 치과에 갔습니다.,I went to the dentist because my tooth hurt.
안경,glasses,책을 읽을 때 안경을 씁니다.,I wear glasses when reading books.
렌즈,contact lenses,요즘은 렌즈를 착용하는 사람이 많습니다.,These days many people wear contact lenses.
모자,hat,햇볕이 강해서 모자를 썼습니다.,I wore a hat because the sun was strong.
장갑,gloves,겨울에 장갑을 꼭 끼세요.,Make sure to wear gloves in winter.
양말,socks,양말이 젖어서 갈아신었습니다.,"My socks got wet, so I changed them."
휴대폰,cell phone,휴대폰으로 친구에게 연락했습니다.,I contacted my friend using my cell phone.
텔레비전,television,저녁에 텔레비전을 보았습니다.,I watched television in the evening.
라디오,radio,라디오에서 음악을 들었습니다.,I listened to music on the radio.
카메라,camera,여행 중에 카메라로 사진을 찍었습니다.,I took photos with my camera during the trip.
우산,umbrella,비가 와서 우산을 썼습니다.,I used an umbrella because it was raining.
시계,watch,손목시계로 시간을 확인했습니다.,I checked the time on my wristwatch.
달력,calendar,달력에 중요한 일정을 표시했습니다.,I marked important events on the calendar.
편지,letter,친구에게 편지를 썼습니다.,I wrote a letter to my friend.
우체국,post office,우체국에 가서 소포를 보냈습니다.,I went to the post office to send a package.
신문,newspaper,아침에 신문을 읽었습니다.,I read the newspaper in the morning.
잡지,magazine,잡지를 구독해서 매달 읽습니다.,I subscribe to a magazine and read it every month.
주스,juice,아침 식사와 함께 주스를 마셨습니다.,I drank juice with breakfast.
빵,bread,아침으로 빵을 먹었습니다.,I ate bread for breakfast.
과일,fruit,과일을 간식으로 먹었습니다.,I ate fruit as a snack.
야채,vegetables,저녁에 야채를 많이 먹었습니다.,I ate a lot of vegetables for dinner.
고기,meat,점심에 고기를 구워 먹었습니다.,I grilled meat for lunch.
생선,fish,저녁으로 생선을 조리했습니다.,I cooked fish for dinner.
계란,egg,아침에 계란 후라이를 만들었습니다.,I made fried eggs for breakfast.
치즈,cheese,샌드위치에 치즈를 넣었습니다.,I put cheese in the sandwich.
우유,milk,우유를 한 잔 마셨습니다.,I drank a glass of milk.
요거트,yogurt,아침에 요거트를 먹었습니다.,I ate yogurt in the morning.
아이스크림,ice cream,더워서 아이스크림을 먹었습니다.,I ate ice cream because it was hot.
케이크,cake,생일 케이크를 친구들과 나누어 먹었습니다.,I shared a birthday cake with my friends.
초콜릿,chocolate,달콤한 초콜릿을 먹었습니다.,I ate sweet chocolate.
사탕,candy,아이들에게 사탕을 주었습니다.,I gave candy to the kids.
간식,snack,간식으로 과자를 먹었습니다.,I ate cookies as a snack.
청소하다,to clean,주말마다 집을 청소합니다.,I clean the house every weekend.
빨래하다,to do laundry,옷을 깨끗이 빨래했습니다.,I washed the clothes cleanly.
요리하다,to cook,저녁으로 맛있는 음식을 요리했습니다.,I cooked a delicious meal for dinner.
설거지하다,to do the dishes,식사 후에 설거지를 했습니다.,I did the dishes after the meal.
정리하다,to organize,책상을 깔끔하게 정리했습니다.,I organized my desk neatly.
쓰레기 버리다,to throw away trash,쓰레기를 분리수거하여 버렸습니다.,I separated and threw away the trash.
세수하다,to wash face,아침에 세수를 하고 준비했습니다.,I washed my face in the morning and got ready.
샤워하다,to take a shower,하루 일과 후에 샤워를 했습니다.,I took a shower after the day’s work.
빗다,to comb hair,출근 전에 머리를 빗었습니다.,I combed my hair before going to work.
화장하다,to put on makeup,약속이 있어 화장을 했습니다.,I put on makeup because I had an appointment.
목욕하다,to take a bath,저녁에 따뜻한 물로 목욕했습니다.,I took a bath in warm water in the evening.
씻다,to wash,손과 얼굴을 깨끗이 씻었습니다.,I washed my hands and face cleanly.
잠깐 쉬다,to take a short break,공부하다가 잠깐 쉬었습니다.,I took a short break while studying.
운전하다,to drive,차를 운전해서 친구 집에 갔습니다.,I drove to my friend’s house.
길 찾다,to find directions,새로운 장소에서 길을 찾았습니다.,I found my way in a new place.
길 헤매다,to get lost,길을 잘못 들어서 잠시 헤맸습니다.,I got lost for a while because I took the wrong road.
사진 찍다,to take a photo,여행 중에 풍경 사진을 찍었습니다.,I took photos of the scenery during the trip.
편지 보내다,to send a letter,친구에게 편지를 보냈습니다.,I sent a letter to my friend.
전화 걸다,to make a phone call,친구에게 전화 걸어 약속을 잡았습니다.,I called my friend to set up a meeting.
메시지 보내다,to send a message,친구에게 문자를 보냈습니다.,I sent a message to my friend.
컴퓨터 켜다,to turn on the computer,컴퓨터를 켜서 작업을 시작했습니다.,I turned on the computer and started working.
컴퓨터 끄다,to turn off the computer,작업 후 컴퓨터를 끄고 퇴근했습니다.,I turned off the computer and left work.
인터넷 하다,to browse the internet,저녁에 인터넷을 하며 정보를 찾았습니다.,I searched for information on the internet in the evening.
읽기 연습하다,to practice reading,매일 한국어 읽기 연습을 합니다.,I practice reading Korean every day.
쓰기 연습하다,to practice writing,새 단어를 쓰며 연습했습니다.,I practiced by writing new words.
말하기 연습하다,to practice speaking,한국어 말하기 연습을 했습니다.,I practiced speaking Korean.
듣기 연습하다,to practice listening,팟캐스트를 들으며 듣기 연습을 했습니다.,I practiced listening by listening to podcasts.
걷기 운동하다,to walk for exercise,건강을 위해 매일 걷기 운동을 합니다.,I walk every day for exercise.
달리기 운동하다,to run for exercise,공원에서 달리기 운동을 했습니다.,I ran in the park for exercise.
자전거 타다,to ride a bicycle,날씨가 좋아서 자전거를 탔습니다.,I rode a bicycle because the weather was nice.
등산하다,to hike,주말에 산에 등산을 갔습니다.,I went hiking in the mountains on the weekend.
영화 보다,to watch a movie,주말에 친구와 영화를 봤습니다.,I watched a movie with my friend on the weekend.
드라마 보다,to watch a drama,퇴근 후에 드라마를 봤습니다.,I watched a drama after work.
음악 듣다,to listen to music,좋아하는 음악을 들으면서 휴식을 취했습니다.,I relaxed while listening to my favorite music.
노래 부르다,to sing a song,노래방에서 친구들과 노래를 불렀습니다.,I sang songs with friends at karaoke.
춤 추다,to dance,파티에서 친구들과 춤을 추었습니다.,I danced with friends at the party.
사진 앨범 만들다,to make a photo album,여행 사진으로 앨범을 만들었습니다.,I made a photo album with travel photos.
편지 읽다,to read a letter,친구가 보낸 편지를 읽었습니다.,I read the letter my friend sent.
책 빌리다,to borrow a book,도서관에서 책을 빌렸습니다.,I borrowed a book from the library.
책 반납하다,to return a book,읽은 책을 도서관에 반납했습니다.,I returned the book I read to the library.
강의 듣다,to attend a lecture,대학교에서 강의를 들었습니다.,I attended a lecture at the university.
회의 참석하다,to attend a meeting,오전 회의에 참석했습니다.,I attended the morning meeting.
생일 축하하다,to celebrate a birthday,친구 생일을 축하했습니다.,I celebrated my friend’s birthday.
선물 준비하다,to prepare a gift,친구에게 줄 선물을 준비했습니다.,I prepared a gift for my friend.
운동복 입다,to wear workout clothes,운동할 때 운동복을 입습니다.,I wear workout clothes when exercising.
비행기 타다,to ride a plane,휴가를 위해 비행기를 탔습니다.,I rode a plane for vacation.
버스 타다,to ride a bus,학교에 버스를 타고 갔습니다.,I went to school by bus.
지하철 타다,to ride the subway,도심에 가기 위해 지하철을 탔습니다.,I took the subway to go downtown.
택시 타다,to take a taxi,늦어서 택시를 탔습니다.,I took a taxi because I was late.
